ID,date,confirmed,deaths,d_confirmed,d_deaths
JP,2020-01-22,2,0,0,0
JP,2020-01-23,2,0,0,0
JP,2020-01-24,2,0,0,0
JP,2020-01-25,2,0,0,0
JP,2020-01-26,4,0,2,0
JP,2020-01-27,4,0,0,0
JP,2020-01-28,7,0,3,0
JP,2020-01-29,7,0,0,0
JP,2020-01-30,11,0,4,0
JP,2020-01-31,15,0,4,0
JP,2020-02-01,20,0,5,0
JP,2020-02-02,20,0,0,0
JP,2020-02-03,20,0,0,0
JP,2020-02-04,22,0,2,0
JP,2020-02-05,23,0,1,0
JP,2020-02-06,23,0,0,0
JP,2020-02-07,23,0,0,0
JP,2020-02-08,24,0,1,0
JP,2020-02-09,24,0,0,0
JP,2020-02-10,26,0,2,0
JP,2020-02-11,27,0,1,0
JP,2020-02-12,28,0,1,0
JP,2020-02-13,33,1,5,1
JP,2020-02-14,43,1,10,0
JP,2020-02-15,54,1,11,0
JP,2020-02-16,60,1,6,0
JP,2020-02-17,67,1,7,0
JP,2020-02-18,79,2,12,1
JP,2020-02-19,85,2,6,0
JP,2020-02-20,95,2,10,0
JP,2020-02-21,112,2,17,0
JP,2020-02-22,137,2,25,0
JP,2020-02-23,149,2,12,0
JP,2020-02-24,160,2,11,0
JP,2020-02-25,173,3,13,1
JP,2020-02-26,192,3,19,0
JP,2020-02-27,218,4,26,1
JP,2020-02-28,236,5,18,1
JP,2020-02-29,245,6,9,1
JP,2020-03-01,259,6,14,0
JP,2020-03-02,278,6,19,0
JP,2020-03-03,298,6,20,0
JP,2020-03-04,333,7,35,1
JP,2020-03-05,365,7,32,0
JP,2020-03-06,420,7,55,0
JP,2020-03-07,466,7,46,0
JP,2020-03-08,499,8,33,1
JP,2020-03-09,527,10,28,2
JP,2020-03-10,585,13,58,3
JP,2020-03-11,640,15,55,2
JP,2020-03-12,696,19,56,4
JP,2020-03-13,733,21,37,2
JP,2020-03-14,795,22,62,1
JP,2020-03-15,826,24,31,2
JP,2020-03-16,843,30,17,6
JP,2020-03-17,893,30,50,0
JP,2020-03-18,928,32,35,2
JP,2020-03-19,968,33,40,1
JP,2020-03-20,1022,34,54,1
JP,2020-03-21,1059,36,37,2
JP,2020-03-22,1104,40,45,4
JP,2020-03-23,1144,41,40,1
JP,2020-03-24,1217,42,73,1
JP,2020-03-25,1314,45,97,3
JP,2020-03-26,1416,47,102,2
JP,2020-03-27,1530,53,114,6
JP,2020-03-28,1728,56,198,3
JP,2020-03-29,1907,63,179,7
JP,2020-03-30,2001,65,94,2
JP,2020-03-31,2255,67,254,2
JP,2020-04-01,2535,72,280,5
JP,2020-04-02,2818,75,283,3
JP,2020-04-03,3154,81,336,6
JP,2020-04-04,3525,87,371,6
JP,2020-04-05,3876,93,351,6
JP,2020-04-06,4110,96,234,3
JP,2020-04-07,4485,98,375,2
JP,2020-04-08,5020,105,535,7
JP,2020-04-09,5614,113,594,8
JP,2020-04-10,6250,125,636,12
JP,2020-04-11,6951,138,701,13
JP,2020-04-12,7473,147,522,9
JP,2020-04-13,7773,156,300,9
JP,2020-04-14,8277,170,504,14
JP,2020-04-15,8835,186,558,16
JP,2020-04-16,9398,204,563,18
JP,2020-04-17,9958,217,560,13
JP,2020-04-18,10548,236,590,19
JP,2020-04-19,10914,255,366,19
JP,2020-04-20,11258,275,344,20
JP,2020-04-21,11641,303,383,28
JP,2020-04-22,12037,323,396,20
JP,2020-04-23,12469,351,432,28
JP,2020-04-24,12854,360,385,9
JP,2020-04-25,13186,379,332,19
JP,2020-04-26,13405,395,219,16
JP,2020-04-27,13576,417,171,22
JP,2020-04-28,13860,436,284,19
JP,2020-04-29,14076,454,216,18
JP,2020-04-30,14284,481,208,27
JP,2020-05-01,14558,510,274,29
JP,2020-05-02,14861,536,303,26
JP,2020-05-03,15061,560,200,24
JP,2020-05-04,15229,582,168,22
JP,2020-05-05,15354,593,125,11
JP,2020-05-06,15455,605,101,12
JP,2020-05-07,15553,617,98,12
JP,2020-05-08,15640,634,87,17
JP,2020-05-09,15755,654,115,20
JP,2020-05-10,15824,666,69,12
JP,2020-05-11,15861,685,37,19
JP,2020-05-12,15948,707,87,22
JP,2020-05-13,15998,726,50,19
JP,2020-05-14,16096,742,98,16
JP,2020-05-15,16148,760,52,18
JP,2020-05-16,16202,778,54,18
JP,2020-05-17,16226,787,24,9
JP,2020-05-18,16259,796,33,9
JP,2020-05-19,16287,805,28,9
JP,2020-05-20,16321,818,34,13
JP,2020-05-21,16362,826,41,8
JP,2020-05-22,16385,836,23,10
JP,2020-05-23,16410,845,25,9
JP,2020-05-24,16451,852,41,7
JP,2020-05-25,16472,857,21,5
JP,2020-05-26,16502,863,30,6
JP,2020-05-27,16528,870,26,7
JP,2020-05-28,16588,884,60,14
JP,2020-05-29,16661,890,73,6
JP,2020-05-30,16706,895,45,5
JP,2020-05-31,16741,898,35,3
JP,2020-06-01,16778,900,37,2
JP,2020-06-02,16829,903,51,3
JP,2020-06-03,16858,908,29,5
JP,2020-06-04,16902,913,44,5
JP,2020-06-05,16949,917,47,4
JP,2020-06-06,16995,919,46,2
JP,2020-06-07,17033,919,38,0
JP,2020-06-08,17054,922,21,3
JP,2020-06-09,17099,923,45,1
JP,2020-06-10,17135,925,36,2
JP,2020-06-11,17179,925,44,0
JP,2020-06-12,17240,929,61,4
JP,2020-06-13,17285,931,45,2
JP,2020-06-14,17360,931,75,0
JP,2020-06-15,17432,933,72,2
JP,2020-06-16,17474,938,42,5
JP,2020-06-17,17520,939,46,1
JP,2020-06-18,17589,940,69,1
JP,2020-06-19,17650,959,61,19
JP,2020-06-20,17714,959,64,0
JP,2020-06-21,17769,960,55,1
JP,2020-06-22,17812,961,43,1
JP,2020-06-23,17869,965,57,4
JP,2020-06-24,17965,969,96,4
JP,2020-06-25,18047,971,82,2
JP,2020-06-26,18152,971,105,0
JP,2020-06-27,18244,972,92,1
JP,2020-06-28,18357,972,113,0
JP,2020-06-29,18467,974,110,2
JP,2020-06-30,18605,974,138,0
JP,2020-07-01,18732,976,127,2
JP,2020-07-02,18926,977,194,1
JP,2020-07-03,19176,977,250,0
JP,2020-07-04,19450,977,274,0
JP,2020-07-05,19658,977,208,0
JP,2020-07-06,19834,978,176,1
JP,2020-07-07,20042,980,208,2
JP,2020-07-08,20249,982,207,2
JP,2020-07-09,20604,982,355,0
JP,2020-07-10,21034,982,430,0
JP,2020-07-11,21420,983,386,1
JP,2020-07-12,21827,983,407,0
JP,2020-07-13,22086,984,259,1
JP,2020-07-14,22419,984,333,0
JP,2020-07-15,22869,985,450,1
JP,2020-07-16,23493,985,624,0
JP,2020-07-17,24090,985,597,0
JP,2020-07-18,24751,986,661,1
JP,2020-07-19,25262,986,511,0
JP,2020-07-20,25680,988,418,2
JP,2020-07-21,26312,989,632,1
JP,2020-07-22,27107,990,795,1
JP,2020-07-23,28088,992,981,2
JP,2020-07-24,28867,995,779,3
JP,2020-07-25,29668,998,801,3
JP,2020-07-26,30507,998,839,0
JP,2020-07-27,31107,999,600,1
JP,2020-07-28,32092,1002,985,3
JP,2020-07-29,33362,1006,1270,4
JP,2020-07-30,34670,1007,1308,1
JP,2020-07-31,36256,1013,1586,6
JP,2020-08-01,37790,1013,1534,0
JP,2020-08-02,39121,1013,1331,0
JP,2020-08-03,40086,1018,965,5
JP,2020-08-04,41332,1023,1246,5
JP,2020-08-05,42687,1030,1355,7
JP,2020-08-06,44172,1036,1485,6
JP,2020-08-07,45777,1043,1605,7
JP,2020-08-08,47348,1044,1571,1
JP,2020-08-09,48789,1049,1441,5
JP,2020-08-10,49627,1054,838,5
JP,2020-08-11,50324,1061,697,7
JP,2020-08-12,51303,1066,979,5
JP,2020-08-13,52475,1077,1172,11
JP,2020-08-14,53831,1086,1356,9
JP,2020-08-15,55062,1093,1231,7
JP,2020-08-16,56079,1104,1017,11
JP,2020-08-17,56726,1119,647,15
JP,2020-08-18,57642,1135,916,16
JP,2020-08-19,58712,1149,1070,14
JP,2020-08-20,59890,1160,1178,11
JP,2020-08-21,60927,1175,1037,15
JP,2020-08-22,61911,1181,984,6
JP,2020-08-23,62655,1190,744,9
JP,2020-08-24,63148,1203,493,13
JP,2020-08-25,63863,1217,715,14
JP,2020-08-26,64766,1230,903,13
JP,2020-08-27,65629,1241,863,11
JP,2020-08-28,66505,1261,876,20
JP,2020-08-29,67349,1272,844,11
JP,2020-08-30,67949,1286,600,14
JP,2020-08-31,68385,1300,436,14
JP,2020-09-01,69018,1314,633,14
JP,2020-09-02,69610,1327,592,13
JP,2020-09-03,70267,1335,657,8
JP,2020-09-04,70854,1352,587,17
JP,2020-09-05,71452,1361,598,9
JP,2020-09-06,71903,1369,451,8
JP,2020-09-07,72194,1380,291,11
JP,2020-09-08,72703,1398,509,18
JP,2020-09-09,73211,1412,508,14
JP,2020-09-10,73923,1419,712,7
JP,2020-09-11,74565,1428,642,9
JP,2020-09-12,75211,1441,646,13
JP,2020-09-13,75650,1447,439,6
JP,2020-09-14,75916,1454,266,7
JP,2020-09-15,76447,1467,531,13
JP,2020-09-16,76998,1480,551,13
JP,2020-09-17,77487,1489,489,9
JP,2020-09-18,78059,1499,572,10
JP,2020-09-19,78655,1503,596,4
JP,2020-09-20,79135,1507,480,4
JP,2020-09-21,79445,1514,310,7
JP,2020-09-22,79776,1519,331,5
JP,2020-09-23,79995,1525,219,6
JP,2020-09-24,80477,1537,482,12
JP,2020-09-25,81050,1544,573,7
JP,2020-09-26,81689,1547,639,3
JP,2020-09-27,82174,1550,485,3
JP,2020-09-28,82476,1561,302,11
JP,2020-09-29,83003,1568,527,7
JP,2020-09-30,83579,1575,576,7
JP,2020-10-01,84212,1583,633,8
JP,2020-10-02,84754,1593,542,10
JP,2020-10-03,85328,1599,574,6
JP,2020-10-04,85728,1600,400,1
JP,2020-10-05,86007,1604,279,4
JP,2020-10-06,86507,1611,500,7
JP,2020-10-07,87013,1616,506,5
JP,2020-10-08,87640,1619,627,3
JP,2020-10-09,88243,1625,603,6
JP,2020-10-10,88921,1628,678,3
JP,2020-10-11,89357,1630,436,2
JP,2020-10-12,89635,1634,278,4
JP,2020-10-13,90133,1638,498,4
JP,2020-10-14,90685,1647,552,9
JP,2020-10-15,91393,1650,708,3
JP,2020-10-16,92032,1665,639,15
JP,2020-10-17,92655,1671,623,6
JP,2020-10-18,93085,1675,430,4
JP,2020-10-19,93401,1677,316,2
JP,2020-10-20,93882,1680,481,3
JP,2020-10-21,94497,1687,615,7
JP,2020-10-22,95113,1698,616,11
JP,2020-10-23,95858,1710,745,12
JP,2020-10-24,96584,1714,726,4
JP,2020-10-25,97077,1720,493,6
JP,2020-10-26,97487,1728,410,8
JP,2020-10-27,98133,1733,646,5
JP,2020-10-28,98864,1738,731,5
JP,2020-10-29,99672,1748,808,10
JP,2020-10-30,100446,1756,774,8
JP,2020-10-31,101323,1770,877,14
JP,2020-11-01,101936,1776,613,6
JP,2020-11-02,102423,1788,487,12
JP,2020-11-03,103288,1795,865,7
JP,2020-11-04,103912,1799,624,4
JP,2020-11-05,104960,1808,1048,9
JP,2020-11-06,106103,1812,1143,4
JP,2020-11-07,107436,1817,1333,5
JP,2020-11-08,108386,1824,950,7
JP,2020-11-09,109166,1836,780,12
JP,2020-11-10,110449,1851,1283,15
JP,2020-11-11,111993,1863,1544,12
JP,2020-11-12,113652,1873,1659,10
JP,2020-11-13,115356,1885,1704,12
JP,2020-11-14,117091,1888,1735,3
JP,2020-11-15,118530,1895,1439,7
JP,2020-11-16,119480,1906,950,11
JP,2020-11-17,121180,1920,1700,14
JP,2020-11-18,123374,1934,2194,14
JP,2020-11-19,125759,1955,2385,21
JP,2020-11-20,128180,1969,2421,14
JP,2020-11-21,130772,1981,2592,12
JP,2020-11-22,132931,1988,2159,7
JP,2020-11-23,134449,1996,1518,8
JP,2020-11-24,135678,2015,1229,19
JP,2020-11-25,137620,2036,1942,21
JP,2020-11-26,140120,2065,2500,29
JP,2020-11-27,142651,2096,2531,31
JP,2020-11-28,145326,2110,2675,14
JP,2020-11-29,147388,2126,2062,16
JP,2020-11-30,148824,2152,1436,26
JP,2020-12-01,150857,2193,2033,41
JP,2020-12-02,153289,2225,2432,32
JP,2020-12-03,155806,2261,2517,36
JP,2020-12-04,158258,2306,2452,45
JP,2020-12-05,160766,2328,2508,22
JP,2020-12-06,162804,2359,2038,31
JP,2020-12-07,164335,2398,1531,39
JP,2020-12-08,166511,2445,2176,47
JP,2020-12-09,169321,2487,2810,42
JP,2020-12-10,172290,2513,2969,26
JP,2020-12-11,175085,2554,2795,41
JP,2020-12-12,178122,2582,3037,28
JP,2020-12-13,180505,2602,2383,20
JP,2020-12-14,182186,2649,1681,47
JP,2020-12-15,184612,2702,2426,53
JP,2020-12-16,187608,2755,2996,53
JP,2020-12-17,190817,2793,3209,38
JP,2020-12-18,193654,2841,2837,48
JP,2020-12-19,196643,2881,2989,40
JP,2020-12-20,199134,2917,2491,36
JP,2020-12-21,200945,2965,1811,48
JP,2020-12-22,203639,3013,2694,48
JP,2020-12-23,206915,3069,3276,56
JP,2020-12-24,210661,3123,3746,54
JP,2020-12-25,214493,3187,3832,64
JP,2020-12-26,218378,3234,3885,47
JP,2020-12-27,221322,3274,2944,40
JP,2020-12-28,223719,3325,2397,51
JP,2020-12-29,227346,3384,3627,59
JP,2020-12-30,231217,3443,3871,59
JP,2020-12-31,235749,3492,4532,49
JP,2021-01-01,239005,3541,3256,49
JP,2021-01-02,242076,3572,3071,31
JP,2021-01-03,245242,3632,3166,60
JP,2021-01-04,248585,3680,3343,48
JP,2021-01-05,253534,3756,4949,76
JP,2021-01-06,259583,3821,6049,65
JP,2021-01-07,267225,3885,7642,64
JP,2021-01-08,275182,3963,7957,78
JP,2021-01-09,283036,4022,7854,59
JP,2021-01-10,289144,4067,6108,45
JP,2021-01-11,294050,4115,4906,48
JP,2021-01-12,298647,4179,4597,64
JP,2021-01-13,304564,4276,5917,97
JP,2021-01-14,311220,4342,6656,66
JP,2021-01-15,318393,4420,7173,78
JP,2021-01-16,325435,4476,7042,56
JP,2021-01-17,331195,4525,5760,49
JP,2021-01-18,336132,4583,4937,58
JP,2021-01-19,341467,4687,5335,104
JP,2021-01-20,347029,4779,5562,92
JP,2021-01-21,352693,4873,5664,94
JP,2021-01-22,357750,4981,5057,108
JP,2021-01-23,362476,5064,4726,83
JP,2021-01-24,366466,5120,3990,56
JP,2021-01-25,369229,5194,2763,74
JP,2021-01-26,373082,5298,3853,104
JP,2021-01-27,377056,5388,3974,90
JP,2021-01-28,381187,5501,4131,113
JP,2021-01-29,384725,5597,3538,96
JP,2021-01-30,388067,5688,3342,91
JP,2021-01-31,390740,5753,2673,65
JP,2021-02-01,392533,5833,1793,80
JP,2021-02-02,394857,5952,2324,119
JP,2021-02-03,397491,6072,2634,120
JP,2021-02-04,400069,6176,2578,104
JP,2021-02-05,402439,6282,2370,106
JP,2021-02-06,404716,6376,2277,94
JP,2021-02-07,406346,6428,1630,52
JP,2021-02-08,407563,6511,1217,83
